Cod. Municipio|Departamento|Municipio|AÑO|Población municipio|Total Hombres|Total Mujeres|% mujeres municipio|% jóvenes municipio
18756|Caquetá|Solano|2024|12111|6561|5550|45,826108496408224|28,75072248369251
18785|Caquetá|Solita|2024|6389|3226|3163|49,5069650962592|25,77868210987635
18860|Caquetá|Valparaíso|2024|7346|3802|3544|48,243942281513746|25,973318812959434
19001|Cauca|Popayán|2024|343011|164516|178495|52,037689753389834|23,65230269583191
19022|Cauca|Almaguer|2024|19648|9738|9910|50,43770358306189|24,175488599348537
19050|Cauca|Argelia|2024|28128|14836|13292|47,255403868031856|27,23976109215017
19075|Cauca|Balboa|2024|22648|11317|11331|50,03090780642883|24,63352172377252
19100|Cauca|Bolívar|2024|39731|20068|19663|49,490322418262814|22,9291988623493
19110|Cauca|Buenos Aires|2024|35689|17680|18009|50,46092633584578|26,843004847431985
19130|Cauca|Cajibío|2024|45019|22945|22074|49,03263066705169|24,913925231568893
19137|Cauca|Caldono|2024|43224|21895|21329|49,34527114565982|26,67962243198223
19142|Cauca|Caloto|2024|31552|15690|15862|50,2725659229209|26,952332657200813
19212|Cauca|Corinto|2024|27111|13615|13496|49,78053188742577|27,450112500461067
19256|Cauca|El Tambo|2024|57741|29540|28201|48,84051194125492|23,18629743163437
19290|Cauca|Florencia|2024|5509|2813|2696|48,93810128880015|24,977309856598293
19300|Cauca|Guachené|2024|20594|9526|11068|53,74380887637176|26,50772069534816
19318|Cauca|Guapi|2024|29540|14618|14922|50,514556533513876|27,149627623561273
19355|Cauca|Inzá|2024|31097|15656|15441|49,65430748946844|26,005724024825543
19364|Cauca|Jambaló|2024|19297|9655|9642|49,96631600766959|28,792040213504688
19392|Cauca|La Sierra|2024|11406|5807|5599|49,08819919340698|22,926529896545677
19397|Cauca|La Vega|2024|26295|13316|12979|49,35919376307283|24,483742156303478
19418|Cauca|López de Micay|2024|19958|10067|9891|49,55907405551658|27,287303337007717
19450|Cauca|Mercaderes|2024|25097|12615|12482|49,735028091006896|21,29338167908515
19455|Cauca|Miranda|2024|33748|16416|17332|51,357117458812375|25,15408320493066
19473|Cauca|Morales|2024|42017|21174|20843|49,60611181188567|26,051360163743247
19513|Cauca|Padilla|2024|10607|4994|5613|52,91788441595173|25,68115395493542
19517|Cauca|Páez|2024|49628|25252|24376|49,11743370677843|26,8820020955912
19532|Cauca|Patía|2024|39406|19061|20345|51,62919352382885|23,963355834136934
19533|Cauca|Piamonte|2024|9807|5058|4749|48,42459467727134|25,8794738452126
19548|Cauca|Piendamó - Tunía|2024|43961|21689|22272|50,66308773685767|24,355678897204342
19573|Cauca|Puerto Tejada|2024|44610|20609|24001|53,80183815288052|25,236494059627884
19585|Cauca|Puracé|2024|18619|9253|9366|50,3034534615178|27,165798378000964
19622|Cauca|Rosas|2024|12271|6255|6016|49,02615923722598|21,318555944910766
19693|Cauca|San Sebastián|2024|11759|5841|5918|50,32740879326474|24,517390934603284
19698|Cauca|Santander de Quilichao|2024|118031|57494|60537|51,28906812617024|25,259465733578466
19701|Cauca|Santa Rosa|2024|5675|2976|2699|47,559471365638764|23,806167400881055
19743|Cauca|Silvia|2024|40404|20009|20395|50,477675477675476|27,153252153252154
